,Player,Season,School,Conf,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS
192,marvin-williams,Career,UNC,,36,22.2,3.5,6.9,0.506,2.9,5.6,0.522,0.5,1.2,0.43200000000000005,3.8,4.5,0.847,6.6,0.7,1.1,0.5,,,11.3
193,keith-bogans,Career,Kentucky,,135,29.0,5.0,11.4,0.43700000000000006,3.1,5.9,0.527,1.9,5.5,0.342,2.4,3.5,0.688,4.1,2.3,1.1,0.1,2.3,2.0,14.2
194,tony-delk,Career,Kentucky,,133,23.7,5.1,10.8,0.474,3.0,5.5,0.5489999999999999,2.1,5.4,0.397,1.8,2.6,0.7090000000000001,3.5,1.6,1.5,0.3,1.5,1.8,14.2
195,travis-diener,Career,Marquette,,120,31.4,4.3,10.2,0.41600000000000004,1.9,4.5,0.42,2.4,5.7,0.413,3.2,3.8,0.8370000000000001,3.1,5.1,1.3,0.1,,,14.1
196,spencer-hawes,Career,Washington,,31,28.9,6.2,11.7,0.532,6.2,11.6,0.5329999999999999,0.0,0.1,0.33299999999999996,2.4,3.2,0.755,6.4,1.9,0.5,1.7,,,14.9
197,fred-jones,Career,Oregon,,125,28.2,4.4,9.2,0.48100000000000004,3.3,5.7,0.568,1.2,3.5,0.33799999999999997,3.1,3.9,0.805,5.0,2.9,1.2,0.6,2.4,2.5,13.2
198,brian-roberts,Career,Dayton,,125,,5.2,11.5,0.452,2.9,6.2,0.462,2.3,5.3,0.441,2.9,3.4,0.8490000000000001,3.0,2.8,0.5,0.1,2.8,,15.7
199,trevor-ariza,Career,UCLA,,25,31.6,4.3,10.0,0.426,3.6,7.0,0.509,0.7,3.0,0.237,2.3,4.5,0.504,6.5,2.1,1.7,0.4,,,11.6
200,chase-budinger,Career,Arizona,,100,,6.0,12.8,0.469,4.1,7.8,0.524,1.9,5.0,0.38299999999999995,3.1,4.0,0.782,5.8,2.8,1.3,0.4,2.4,,17.0
201,casey-jacobsen,Career,Stanford,,95,31.8,5.8,12.2,0.47,3.4,6.8,0.505,2.3,5.5,0.42700000000000005,4.3,5.6,0.7709999999999999,3.8,2.7,0.5,0.1,2.0,1.4,18.1
202,greg-anthony,Career,Overall,,138,30.5,4.3,9.7,0.43700000000000006,3.0,6.5,0.467,1.2,3.3,0.379,2.8,4.0,0.7070000000000001,3.1,6.9,2.4,0.3,2.7,2.5,12.6
203,gilbert-arenas,Career,Arizona,,70,30.5,5.6,12.1,0.466,4.1,7.9,0.523,1.5,4.2,0.361,3.0,4.0,0.738,3.8,2.2,1.9,0.2,2.7,2.4,15.8
204,kent-bazemore,Career,Old Dominion,,140,29.6,3.7,8.3,0.447,3.0,6.1,0.486,0.7,2.1,0.33399999999999996,2.0,3.5,0.581,4.6,2.7,1.8,0.5,2.3,1.8,10.1
205,austin-daye,Career,Gonzaga,,67,,4.1,8.6,0.47700000000000004,3.2,6.4,0.495,0.9,2.2,0.42200000000000004,2.5,3.1,0.79,5.8,1.0,0.7,1.9,1.9,,11.6
206,tony-snell,Career,New Mexico,,104,24.8,3.0,7.1,0.42100000000000004,1.4,2.9,0.48,1.6,4.2,0.38,1.6,1.9,0.821,2.4,2.0,0.5,0.3,1.5,1.2,9.2
207,earl-boykins,Career,Eastern Michigan,,122,34.1,6.2,14.2,0.439,4.7,10.0,0.475,1.5,4.2,0.353,4.2,5.2,0.8029999999999999,2.3,5.1,1.8,0.1,2.8,1.2,18.1
208,tim-hardaway,Career,UTEP,,124,28.8,4.6,9.5,0.484,4.8,9.5,0.51,0.7,2.0,0.35200000000000004,3.0,4.2,0.718,2.6,4.5,2.1,0.2,2.0,2.4,12.8
209,brandon-jennings,Career,IPFW,,52,,1.3,2.8,0.44799999999999995,1.0,2.0,0.491,0.3,0.8,0.33299999999999996,0.5,0.7,0.7709999999999999,2.6,0.6,0.5,0.0,,,3.3
210,eric-maynor,Career,VCU,,130,,5.0,11.2,0.449,3.9,8.3,0.47700000000000004,1.1,3.0,0.37,3.9,4.9,0.7909999999999999,3.4,5.2,1.3,0.2,3.0,,15.0
211,jamal-crawford,Career,Michigan,,17,33.9,6.2,15.0,0.41200000000000003,4.2,9.1,0.46799999999999997,1.9,5.9,0.327,2.4,3.0,0.784,2.8,4.5,1.1,0.9,3.1,1.1,16.6
212,keyon-dooling,Career,Missouri,,59,28.1,3.8,9.2,0.41100000000000003,2.6,5.8,0.452,1.1,3.4,0.33799999999999997,3.4,4.7,0.733,2.4,3.4,1.3,0.5,2.3,1.7,12.1
213,ryan-gomes,Career,Providence,,116,35.1,6.8,13.0,0.519,6.1,11.0,0.5489999999999999,0.7,2.0,0.35200000000000004,4.2,5.3,0.789,8.9,2.3,1.6,0.4,,,18.4
214,otto-porter,Career,Georgetown,,64,32.5,4.6,9.2,0.498,3.7,6.8,0.55,0.9,2.4,0.355,2.8,3.8,0.7509999999999999,7.1,2.1,1.5,0.9,1.3,2.0,12.8
215,luke-ridnour,Career,Oregon,,96,33.6,4.5,10.5,0.429,2.4,5.0,0.47200000000000003,2.1,5.4,0.389,3.5,4.1,0.8590000000000001,3.0,5.2,1.6,0.1,3.2,2.1,14.6
216,greivis-vasquez,Career,Maryland,,136,33.9,5.5,13.0,0.425,3.8,7.9,0.48700000000000004,1.7,5.1,0.32899999999999996,3.2,3.9,0.828,4.8,5.7,1.4,0.3,3.5,0.5,16.0
217,caron-butler,Career,UConn,,63,34.5,6.4,13.8,0.465,5.7,11.9,0.48200000000000004,0.7,1.9,0.364,4.5,5.9,0.768,7.6,3.0,2.1,0.3,2.7,2.4,18.0
218,langston-galloway,Career,St. Joseph's,,133,35.5,4.9,11.3,0.43799999999999994,2.4,5.2,0.452,2.6,6.1,0.426,2.5,3.1,0.821,4.5,2.2,1.3,0.5,1.2,2.5,15.0
219,jumaine-jones,Career,Georgia,,65,34.4,5.9,13.2,0.449,4.5,9.2,0.49200000000000005,1.4,4.0,0.35100000000000003,3.3,4.4,0.7509999999999999,9.0,0.9,1.0,0.6,2.5,1.1,16.6
220,brandon-roy,Career,Washington,,103,27.5,5.2,10.1,0.512,4.7,8.6,0.541,0.5,1.5,0.344,3.5,4.5,0.765,5.0,3.0,1.0,0.5,,,14.3
221,james-posey,Career,Xavier,,95,31.5,4.9,9.3,0.527,4.1,7.0,0.594,0.8,2.3,0.32899999999999996,4.7,5.9,0.8079999999999999,8.4,1.7,2.3,0.7,2.7,2.1,15.3
222,latrell-sprewell,Career,Alabama,,68,31.3,5.0,10.0,0.507,4.0,7.3,0.547,1.1,2.7,0.39899999999999997,2.3,3.2,0.74,5.1,2.0,1.4,0.6,2.1,1.7,13.5
223,willie-green,Career,Detroit,,124,30.0,5.2,11.4,0.461,4.3,8.6,0.495,1.0,2.8,0.35200000000000004,2.9,3.8,0.757,4.2,2.2,0.9,0.3,2.0,2.3,14.3
224,troy-hudson,Career,Overall,,57,33.5,6.9,17.6,0.391,2.9,8.6,0.336,4.0,9.0,0.44299999999999995,2.8,3.5,0.8059999999999999,3.8,2.2,1.3,0.0,2.2,1.6,20.6
225,jarrett-jack,Career,Georgia Tech,,101,32.3,4.0,8.4,0.478,3.1,5.9,0.53,0.9,2.6,0.359,3.6,4.5,0.7959999999999999,4.5,5.4,1.8,0.1,,,12.5
226,antawn-jamison,Career,UNC,,104,33.6,7.6,13.1,0.5770000000000001,7.5,12.9,0.583,0.1,0.3,0.29600000000000004,3.8,6.1,0.617,9.9,0.9,0.9,0.8,1.8,1.6,19.0
227,jeremy-lin,Career,Harvard,,115,32.2,4.4,9.1,0.48100000000000004,3.5,6.3,0.547,0.9,2.8,0.33299999999999996,3.2,4.3,0.733,4.3,3.5,2.0,0.6,3.2,0.7,12.9
228,ben-mclemore,Career,Kansas,,37,32.2,5.4,10.8,0.495,3.4,6.1,0.5529999999999999,2.0,4.7,0.42,3.2,3.7,0.87,5.2,2.0,1.0,0.7,2.1,1.9,15.9
229,alan-anderson,Career,Michigan State,,126,26.8,3.0,6.1,0.503,2.7,5.0,0.532,0.4,1.0,0.366,3.0,3.6,0.831,4.2,2.4,0.8,0.2,,,9.5
230,richard-hamilton,Career,UConn,,103,31.4,6.7,15.7,0.426,4.4,9.7,0.456,2.3,6.1,0.37799999999999995,4.0,4.9,0.826,4.5,2.6,1.3,0.3,2.7,1.3,19.8
231,smush-parker,Career,Fordham,,28,35.0,5.5,12.6,0.433,3.4,6.4,0.536,2.0,6.2,0.32799999999999996,3.6,4.9,0.73,4.4,4.5,2.3,0.3,,,16.5
232,mike-scott,Career,Eastern Kentucky,,55,,1.9,5.0,0.389,1.5,3.6,0.429,0.4,1.4,0.28600000000000003,1.9,2.8,0.677,3.5,2.0,1.3,0.1,,,6.2
233,carmelo-anthony,Career,Syracuse,,35,36.4,7.9,17.5,0.45299999999999996,6.3,12.7,0.496,1.6,4.7,0.337,4.8,6.8,0.706,10.0,2.2,1.6,0.9,2.2,2.2,22.2
234,rudy-gay,Career,UConn,,64,29.8,5.0,10.8,0.461,4.1,8.5,0.483,0.9,2.3,0.37799999999999995,2.8,3.8,0.721,5.9,1.8,1.3,1.7,,,13.6
235,robert-horry,Career,Alabama,,133,28.2,4.3,9.4,0.45799999999999996,3.3,6.8,0.49200000000000005,1.0,2.6,0.371,2.4,3.2,0.742,7.0,1.4,1.3,2.2,2.2,2.8,12.0
236,wesley-johnson,Career,Charleston Southern,,52,8.8,0.5,1.0,0.529,0.5,1.0,0.529,0.0,0.0,,0.6,1.2,0.508,1.5,0.1,0.2,0.3,0.3,1.4,1.6
237,brian-scalabrine,Career,USC,,92,33.0,5.7,11.2,0.513,5.2,9.7,0.5379999999999999,0.5,1.5,0.34299999999999997,3.7,4.8,0.77,6.1,2.7,1.0,0.9,3.4,2.7,15.7
238,michael-beasley,Career,Kansas State,,33,31.5,9.3,17.5,0.532,8.2,14.6,0.562,1.1,2.9,0.379,6.5,8.5,0.774,12.4,1.2,1.3,1.6,2.9,,26.2
239,sam-cassell,Career,Florida State,,66,35.5,6.7,13.9,0.478,5.0,9.5,0.531,1.6,4.5,0.366,3.4,4.6,0.7340000000000001,4.4,4.4,2.3,0.3,2.9,3.3,18.3
240,draymond-green,Career,Michigan State,,145,29.6,3.7,8.0,0.467,3.1,6.3,0.496,0.6,1.7,0.361,2.3,3.4,0.687,7.6,2.9,1.2,0.8,1.9,2.3,10.5
241,lou-williams,Career,Oklahoma,,5,,1.2,3.4,0.353,1.2,2.6,0.462,0.0,0.8,0.0,1.8,2.8,0.643,0.6,1.0,0.2,0.0,,,4.2
242,dan-dickau,Career,Overall,,97,32.1,3.9,8.7,0.451,1.7,3.9,0.436,2.2,4.8,0.462,3.3,3.8,0.8540000000000001,2.4,3.7,0.7,0.1,3.0,1.4,13.3
243,juan-dixon,Career,Maryland,,141,28.4,5.7,12.1,0.46799999999999997,4.0,7.8,0.513,1.7,4.4,0.389,3.0,3.6,0.85,4.2,2.6,2.4,0.2,2.5,2.0,16.1
244,steve-francis,Career,Maryland,,34,30.7,6.0,11.5,0.523,4.7,8.1,0.58,1.3,3.4,0.38799999999999996,3.6,4.6,0.79,4.5,4.5,2.8,0.2,3.0,2.8,17.0
245,grant-hill,Career,Duke,,129,30.4,5.8,10.9,0.532,5.4,9.9,0.546,0.3,0.9,0.376,3.0,4.3,0.698,6.0,3.6,1.7,1.0,2.5,2.4,14.9
246,charlie-villanueva,Career,UConn,,63,22.3,4.3,8.3,0.518,3.9,7.4,0.534,0.4,1.0,0.39299999999999996,2.2,3.2,0.6809999999999999,6.7,1.0,0.4,1.7,,,11.2
247,rasheed-wallace,Career,UNC,,69,25.5,5.5,8.6,0.635,5.4,8.6,0.637,0.0,0.1,0.25,2.1,3.4,0.621,7.4,0.8,0.6,2.3,1.5,2.6,13.0
248,al-horford,Career,Florida,,109,25.7,3.9,6.6,0.586,3.9,6.6,0.589,0.0,0.0,0.0,2.5,4.1,0.619,7.9,1.7,0.9,1.7,,,10.3
249,mark-jackson,Career,St. John's (NY),,131,30.4,3.5,7.0,0.51,4.9,9.1,0.54,1.6,3.9,0.419,2.7,3.5,0.7509999999999999,2.6,5.6,1.3,0.2,2.3,1.7,10.1
250,wilson-chandler,Career,DePaul,,59,31.1,5.1,11.4,0.445,4.3,8.8,0.48700000000000004,0.8,2.6,0.303,2.0,3.0,0.659,7.1,1.2,0.7,1.5,,,12.9
251,jeff-green,Career,Georgetown,,102,33.2,4.8,9.7,0.488,3.9,7.3,0.531,0.9,2.4,0.359,2.7,3.9,0.7,6.5,3.1,0.9,1.2,,,13.1
252,lindsey-hunter,Career,Overall,,119,31.7,7.3,17.8,0.409,4.8,10.7,0.446,2.5,7.1,0.353,3.0,4.3,0.7090000000000001,3.2,3.7,2.2,0.3,3.1,2.0,20.1
253,victor-oladipo,Career,Indiana,,104,24.6,3.9,7.3,0.5379999999999999,3.4,5.9,0.585,0.5,1.4,0.33799999999999997,2.5,3.5,0.716,5.2,1.7,1.5,0.5,2.0,2.4,10.7
254,shawne-williams,Career,Memphis,,36,27.8,4.3,10.4,0.41600000000000004,3.0,6.1,0.489,1.3,4.3,0.312,3.2,4.0,0.7859999999999999,6.2,1.9,1.4,1.4,,,13.2
255,carlos-arroyo,Career,Florida International,,100,35.2,5.6,12.6,0.445,3.9,7.5,0.517,1.7,5.1,0.34,3.0,4.3,0.703,3.0,4.6,1.8,0.1,,,16.0
256,devin-brown,Career,UTSA,,105,32.0,6.1,14.7,0.41100000000000003,4.4,9.5,0.46799999999999997,1.6,5.2,0.309,4.6,6.2,0.733,7.2,2.7,1.8,0.4,2.8,2.7,18.3
257,rodney-carney,Career,Memphis,,133,27.6,5.0,11.9,0.415,2.8,6.0,0.46799999999999997,2.2,6.0,0.36200000000000004,2.2,3.1,0.7170000000000001,4.9,1.2,1.0,1.0,,,14.3
258,jordan-clarkson,Career,Overall,,93,31.7,5.1,11.6,0.44,4.1,8.4,0.485,1.0,3.2,0.322,4.2,5.2,0.805,3.3,2.7,0.9,0.3,2.7,2.3,15.4
259,austin-croshere,Career,Providence,,121,23.6,4.1,9.3,0.44,2.9,5.7,0.502,1.2,3.6,0.34,3.2,3.8,0.843,5.3,1.0,0.9,0.6,1.9,2.0,12.6
260,jonny-flynn,Career,Syracuse,,73,,5.6,12.2,0.46,4.2,8.1,0.525,1.4,4.2,0.33299999999999996,4.0,5.1,0.782,2.7,6.0,1.5,0.2,3.1,,16.6
261,dermarr-johnson,Career,Cincinnati,,32,27.5,4.4,9.2,0.478,2.8,4.8,0.575,1.6,4.4,0.371,2.2,3.0,0.737,3.8,1.4,1.0,0.9,1.4,2.0,12.6
262,jeremy-lamb,Career,UConn,,75,32.1,5.3,11.0,0.48200000000000004,3.8,6.6,0.573,1.6,4.5,0.348,1.9,2.4,0.8059999999999999,4.7,1.7,1.0,0.6,1.6,1.6,14.1
263,josh-mcroberts,Career,Duke,,69,29.7,4.0,7.5,0.54,3.9,7.0,0.5589999999999999,0.1,0.5,0.278,2.5,3.8,0.664,6.5,2.4,1.2,1.9,,,10.8
264,jason-williams,Career,Overall,,48,29.1,5.3,11.0,0.483,3.5,6.3,0.5489999999999999,1.9,4.7,0.39399999999999996,2.4,3.0,0.7929999999999999,3.3,6.5,2.1,0.3,2.7,1.0,14.9
265,matt-barnes,Career,UCLA,,121,22.6,3.3,7.1,0.469,2.8,5.5,0.514,0.5,1.6,0.314,1.7,2.9,0.5660000000000001,4.8,2.0,1.0,0.4,2.0,2.2,8.8
266,chris-bosh,Career,Georgia Tech,,31,31.0,5.4,9.7,0.56,4.7,8.2,0.575,0.7,1.5,0.478,4.1,5.6,0.73,9.0,1.2,1.0,2.2,2.3,2.4,15.6
267,linas-kleiza,Career,Missouri,,49,28.7,4.7,11.3,0.413,3.9,8.6,0.45299999999999996,0.8,2.8,0.287,4.3,6.1,0.7070000000000001,7.9,1.3,0.6,0.3,,,14.4
268,garrett-temple,Career,LSU,,134,,2.2,5.9,0.371,1.3,2.9,0.47,0.8,3.0,0.278,1.5,1.9,0.7829999999999999,3.7,3.6,1.4,0.8,2.1,,6.7
269,luol-deng,Career,Duke,,37,31.1,5.7,11.9,0.47600000000000003,4.6,8.9,0.515,1.1,3.0,0.36,2.6,3.7,0.71,6.9,1.8,1.3,1.1,,,15.1
270,andre-iguodala,Career,Arizona,,62,25.4,3.3,7.8,0.424,2.8,5.9,0.473,0.5,1.9,0.27399999999999997,2.5,3.3,0.738,6.6,3.4,1.5,0.5,,,9.6
271,paul-millsap,Career,Louisiana Tech,,92,35.2,7.2,12.4,0.5770000000000001,7.1,12.2,0.58,0.1,0.2,0.375,4.2,6.8,0.62,12.7,0.9,1.3,2.0,,,18.6
272,iman-shumpert,Career,Georgia Tech,,92,31.1,4.2,10.6,0.396,3.0,6.7,0.45,1.2,4.0,0.305,3.1,4.1,0.738,4.5,4.2,2.3,0.2,3.0,1.7,12.7
273,dion-waiters,Career,Syracuse,,71,20.4,3.5,7.7,0.45299999999999996,2.5,4.9,0.513,1.0,2.8,0.348,1.8,2.3,0.753,1.9,2.0,1.5,0.2,1.1,1.6,9.7
274,kemba-walker,Career,UConn,,111,36.5,5.2,12.2,0.428,4.1,8.7,0.469,1.1,3.5,0.326,4.5,5.8,0.7829999999999999,4.4,4.1,1.7,0.3,2.3,1.0,16.1
275,eric-bledsoe,Career,Kentucky,,37,30.3,3.9,8.4,0.462,2.6,5.0,0.516,1.3,3.5,0.38299999999999995,2.2,3.3,0.667,3.1,2.9,1.4,0.3,3.0,2.2,11.3
276,travis-best,Career,Georgia Tech,,124,36.3,5.7,12.4,0.456,3.6,7.1,0.503,2.1,5.3,0.39299999999999996,3.2,3.9,0.809,3.1,5.6,1.8,0.1,2.6,2.5,16.6
277,shannon-brown,Career,Michigan State,,97,28.0,4.3,9.4,0.457,3.2,6.3,0.503,1.1,3.1,0.364,2.5,3.0,0.831,3.4,1.9,1.3,0.1,,,12.2
278,greg-buckner,Career,Clemson,,122,32.6,5.6,11.0,0.504,5.2,9.5,0.54,0.4,1.5,0.276,2.8,4.3,0.665,4.9,2.1,1.5,0.3,1.5,1.8,14.4
279,landry-fields,Career,Stanford,,129,36.3,3.9,8.4,0.46299999999999997,3.1,6.0,0.51,0.8,2.3,0.342,2.3,3.3,0.6759999999999999,5.0,1.6,0.9,0.4,1.7,0.5,10.8
280,anfernee-hardaway,Career,Memphis,,66,36.7,6.9,15.2,0.456,4.8,9.0,0.531,2.2,6.2,0.34600000000000003,4.0,5.5,0.7170000000000001,7.7,5.9,2.5,1.3,3.5,2.7,20.0
281,josh-howard,Career,Wake Forest,,127,27.8,5.1,10.5,0.483,4.2,8.1,0.522,0.9,2.4,0.353,2.9,4.0,0.708,6.6,1.9,1.7,1.1,2.2,2.9,13.9
282,shawn-marion,Career,UNLV,,29,32.9,7.6,14.4,0.529,6.9,12.1,0.573,0.7,2.3,0.299,2.8,3.8,0.73,9.3,1.2,2.5,1.9,1.4,2.1,18.7
283,dahntay-jones,Career,Overall,,131,29.8,4.9,10.7,0.452,4.0,8.3,0.484,0.8,2.4,0.344,3.3,4.4,0.745,4.6,1.4,1.0,0.6,2.1,3.0,13.8
284,adam-morrison,Career,Gonzaga,,95,30.6,7.0,14.0,0.503,5.7,10.3,0.551,1.3,3.7,0.368,4.2,5.5,0.7609999999999999,5.1,2.0,0.7,0.4,,,19.7
285,brad-miller,Career,Purdue,,128,23.2,3.8,6.7,0.5720000000000001,3.8,6.5,0.583,0.1,0.2,0.259,4.2,5.6,0.754,6.7,2.0,1.1,1.3,1.9,2.0,12.0
286,antoine-walker,Career,Kentucky,,69,21.0,4.7,10.4,0.449,4.3,8.9,0.48200000000000004,0.4,1.5,0.252,1.9,2.9,0.66,6.5,2.2,1.3,0.5,2.1,2.1,11.7
287,damien-wilkins,Career,Overall,,117,30.4,3.6,8.8,0.408,2.9,6.5,0.445,0.7,2.3,0.305,3.1,4.2,0.725,5.0,2.6,1.2,0.5,,,10.9
