Player,HeightNoShoes,Wingspan,Diff,Ratio
ron-baker,75.25,81.75,6.50,1.09
wade-baldwin,74.5,83.25,8.75,1.12
anthony-barber,73.5,77.5,4.00,1.05
malik-beasley,75.5,79,3.50,1.05
deandre-bembry,76.25,81.25,5.00,1.07
ben-bentil,79.25,85.5,6.25,1.08
jaron-blossomgame,78.25,82,3.75,1.05
joel-bolomboy,79.5,85.75,6.25,1.08
malcolm-brogdon,75.75,82.5,6.75,1.09
jaylen-brown,77.25,83.75,6.50,1.08
robert-carter,78.75,87.25,8.50,1.11
marquese-chriss,80.75,84.25,3.50,1.04
elgin-cook,77,82,5.00,1.06
isaiah-cousins,75.25,78.25,3.00,1.04
deyonta-davis,81.25,86.5,5.25,1.06
cheick-diallo,79.5,88.5,9.00,1.11
kris-dunn,75,81.5,6.50,1.09
henry-ellenson,82,86.25,4.25,1.05
perry-ellis,79,82.25,3.25,1.04
aj-english,74,82,8.00,1.11
kahlil-felder,68.25,74.5,6.25,1.09
dorian-finney,78.5,83.75,5.25,1.07
michael-gbinije,77.5,79.5,2.00,1.03
daniel-hamilton,78.25,81,2.75,1.04
josh-hart,76,80.5,4.50,1.06
nigel-hayes,78.25,87,8.75,1.11
buddy-hield,75.75,81.25,5.50,1.07
brandon-ingram,80,87,7.00,1.09
demetrius-jackson,72,77.5,5.50,1.08
justin-jackson,79,82.75,3.75,1.05
brice-johnson,81,84.5,3.50,1.04
damian-jones,82.25,87.75,5.50,1.07
skal-labissiere,82.5,86.5,4.00,1.05
dedric-lawson,79,86.5,7.50,1.09
jake-layman,80,81.25,1.25,1.02
caris-levert,77.75,82,4.25,1.05
marcus-lee,81,87,6.00,1.07
thon-maker,83.75,87,3.25,1.04
patrick-mccaw,77.25,82,4.75,1.06
sheldon-mcclellan,77,79,2.00,1.03
isaiah-miles,78.75,82.5,3.75,1.05
malik-newman,74.25,77.75,3.50,1.05
georges-niang,78.75,82,3.25,1.04
chinanu-onuaku,81,86.75,5.75,1.07
marcus-paige,72.5,78.25,5.75,1.08
gary-payton,74,80,6.00,1.08
jakob-poeltl,84.25,86.75,2.50,1.03
taurean-prince,78.5,83.5,5.00,1.06
zhou-qi,85.25,91.75,6.50,1.08
malachi-richardson,76.75,84,7.25,1.09
wayne-selden,76.25,82.5,6.25,1.08
pascal-siakam,80.25,87.25,7.00,1.09
ben-simmons,80.25,84,3.75,1.05
diamond-stone,81,86.75,5.75,1.07
caleb-swanigan,79.5,87.5,8.00,1.10
melo-trimble,73.25,74,0.75,1.01
tyler-ulis,68.75,74,5.25,1.08
jarrod-uthoff,80.5,83.5,3.00,1.04
denzel-valentine,76,82.75,6.75,1.09
isaiah-whitehead,75.25,80.75,5.50,1.07
troy-williams,77.75,80.25,2.50,1.03
kyle-wiltjer,80.75,84.25,3.50,1.04
stephen-zimmerman,82.25,87.25,5.00,1.06